year,sentiment
1953,-0.09068221650909807
1954,-0.09010883636189586
1955,-0.08771966490143926
1956,-0.09125395278799156
1957,-0.09101558656211835
1958,-0.09222910016720128
1959,-0.09233733576413168
1960,-0.09009334397796183
1961,-0.08507336374948395
1962,-0.09055578239973039
1963,-0.08918072672057865
1964,-0.08353251808957116
1965,-0.08809548765850496
1966,-0.08603118507689313
1967,-0.08810917086774908
1968,-0.08998163333333575
1969,-0.0914844295785108
1970,-0.08713559538725399
1971,-0.08495561265563395
1972,-0.08706089725169551
1973,-0.08528444428990631
1974,-0.08706711072786319
1975,-0.08279341270785708
1976,-0.08615677052714338
1977,-0.08416332103404552
1978,-0.0843085619342092
1979,-0.08430033121786548
1980,-0.08887279617550285
1981,-0.08745511034723973
1982,-0.09107267450618327
1983,-0.07835005363656128
1984,-0.08539684833544317
1985,-0.09110475887884047
1986,-0.08822224284839272
1987,-0.08527001862197577
1988,-0.08748884337508026
1989,-0.08923535207049448
1990,-0.09083252211100988
1991,-0.09047038225609814
1992,-0.08741490960694095
1993,-0.09227857512421025
1994,-0.08707016608686088
1995,-0.0897343447106079
1996,-0.0916301373433079
1997,-0.08656028137025189
1998,-0.08565941619982415
1999,-0.08384580088585407
2000,-0.08549756580187348
2001,-0.09352337452480537
2002,-0.09684960027606986
2003,-0.09215540333468751
2004,-0.08898061851588736
2005,-0.08591146318732756
2006,-0.09063124116078211
2007,-0.08721263160032279
2008,-0.09112351206492174
2009,-0.09471478322795991
2010,-0.08642487819587207
2011,-0.09146231703105717
2012,-0.08686550909194417
2013,-0.08520043749630606
2014,-0.08200074266907625
2015,-0.0829275884852897
2016,-0.08227544988230807
2017,-0.0877749320527576
2018,-0.08157370972491086
2019,-0.08533627418678148
2020,-0.08038420197867714
2021,-0.08828334595640983
2022,-0.07650691427294787
2023,-0.07718251359508606
1947,-0.09844159191669408
1948,-0.09234699002655072
1949,-0.09460455078863415
1950,-0.09176164824517041
1951,-0.09173091985032095
1952,-0.09009126314423255
1947,-0.08845731949817612
1948,-0.09015442362394285
1949,-0.08979779089047348
1950,-0.08810040784216573
1951,-0.08965306696375733
1952,-0.08517699177273369
